end_station_name,end_lat,end_lng,member_stops,percent_of_member_stops
Michigan Ave & 14th St,41.86405899999962,-87.6237269999988,8184,0.24872091380015107
Lincoln Ave & Melrose St,41.94060000000073,-87.66943500000076,8156,0.2478699624821642
Lincoln Ave & Diversey Pkwy,41.93222500053776,-87.65861701292455,8037,0.24425341938072018
Aberdeen St & Randolph St,41.884114155229575,-87.65426401895202,8028,0.24397989931422442
Dusable Harbor,41.886975994992625,-87.61281299956454,8003,0.24322012135173615
California Ave & Milwaukee Ave,41.92269500000034,-87.69715300000057,7964,0.24203486773025448
Sangamon St & Lake St,41.885779252404646,-87.65102460980414,7963,0.24200447661175498
Kingsbury St & Kinzie St 1,41.88907000000017,-87.63834999999786,7933,0.24109274305676912
Larrabee St & Division St,41.903486073068024,-87.64335349142937,7920,0.2406976585162752
State St & Randolph St,41.88462107257954,-87.62783423066139,7786,0.23662524863733822
Ogden Ave & Chicago Ave,41.896362457999885,-87.65406127289945,7778,0.23638211968934197
Halsted St & Polk St,41.871840000000034,-87.64664000000053,7776,0.23632133745234296
Lakefront Trail & Bryn Mawr Ave,41.984044115191686,-87.65228122472763,7680,0.23340379007638806
Racine Ave & Belmont Ave,41.939743000000234,-87.65886500000026,7673,0.23319105224689135
Shore Dr & 55th St,41.79521199999956,-87.58071499999949,7659,0.23276557658789798
Halsted St & Dickens Ave,41.91993599999935,-87.6488300000001,7570,0.23006076704143982
Larrabee St & Kingsbury St 1,41.89776630169368,-87.64288410398724,7565,0.22990881144894218
Kedzie Ave & Milwaukee Ave,41.92932968711864,-87.70801076540252,7507,0.22814612657596944
Honore St & Division St,41.90311899999999,-87.67393499999928,7505,0.22808534433897037
Elizabeth St & Randolph St,41.884335999999905,-87.65890199999988,7462,0.2267785262434906
Damen Ave & Cortland St,41.91598299999971,-87.67733500000008,7428,0.2257452282145066
Cityfront Plaza Dr & Pioneer Ct,41.89057299999979,-87.62207199999885,7383,0.22437762788202775
Racine Ave & Fullerton Ave,41.925566000000046,-87.65841600000033,7338,0.22301002754954893
Sheridan Rd & Buena Ave,41.95848631297982,-87.65502310357748,7330,0.2227668986015527
LaSalle Dr & Huron St,41.8948769999996,-87.63232600000056,7307,0.2220679028760635
Sheffield Ave & Willow St,41.91368800000032,-87.65285499999874,7293,0.22164242721707006
Southport Ave & Belmont Ave,41.93947775040553,-87.6637476682663,7283,0.2213385160320748
Wolcott Ave & Polk St,41.871262000000314,-87.67368800000004,7260,0.22063952030658562
Blackstone Ave & 59th St,41.78787700000024,-87.59046100000016,7164,0.21772197293063072
